participant_id,specimen_id,site,stain,split,image_path,pixel_size_um
031,Medial_PLM,Medial,PLM,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P031\Medial\PLM\S58.tif,5.16
031,Medial_HE,Medial,HE,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P031\Medial\HE\HE 58 section 1.tif,1.72
031,Medial_SafO,Medial,SafO,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P031\Medial\SafO\SafO 58 section 2.tif,1.72
013,Medial_PLM,Medial,PLM,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P013\Medial\PLM\S26.tif,5.16
013,Lateral_HE,Lateral,HE,train,"<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P013\Lateral\HE\HE-25, section 1.tif",1.72
013,Lateral_SafO,Lateral,SafO,train,"<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P013\Lateral\SafO\SafO-25, section 2.tif",1.72
027,Medial_PLM,Medial,PLM,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P027\Medial\PLM\S50.tif,5.16
027,Medial_SafO,Medial,SafO,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P027\Medial\SafO\SafO 50 section 2.tif,1.72
027,Medial_HE,Medial,HE,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P027\Medial\HE\HE 50 section 1.tif,1.72
050,Medial_PLM,Medial,PLM,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P050\Medial\PLM\S96.tif,5.16
050,Lateral_SafO,Lateral,SafO,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P050\Lateral\SafO\SafO 95 section 2.tif,1.72
050,Lateral_HE,Lateral,HE,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P050\Lateral\HE\HE 95 section 1.tif,1.72
087,Medial_PLM,Medial,PLM,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P087\Medial\PLM\S170.tif,5.16
087,Medial_HE,Medial,HE,train,"<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P087\Medial\HE\HE-170, section 1.tif",1.72
087,Medial_SafO,Medial,SafO,train,"<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P087\Medial\SafO\SafO-170, section 2.tif",1.72
022,Medial_PLM,Medial,PLM,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P022\Medial\PLM\S42.tif,5.16
022,Lateral_HE,Lateral,HE,train,"<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P022\Lateral\HE\HE 41, section 1.tif",1.72
022,Lateral_SafO,Lateral,SafO,train,"<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P022\Lateral\SafO\SafO-41, section 2.tif",1.72
048,Medial_PLM,Medial,PLM,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P048\Medial\PLM\S92.tif,5.16
048,Medial_SafO,Medial,SafO,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P048\Medial\SafO\SafO 92 section 2.tif,1.72
048,Medial_HE,Medial,HE,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P048\Medial\HE\HE 92 section 1.tif,1.72
059,Medial_PLM,Medial,PLM,train,<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P059\Medial\PLM\S114.tif,5.16
059,Lateral_SafO,Lateral,SafO,train,"<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P059\Lateral\SafO\SafO 113, section 2.tif",1.72
059,Lateral_HE,Lateral,HE,train,"<DATA_ROOT>\data\public\human-knee-cartilage-histopathology\raw\files\P059\Lateral\HE\HE 113, section 1.tif",1.72
