structure,endpoint,status,eligible,reference_fields,hard_abstentions,baseline_coverage,baseline_invalid,baseline_risk,best_threshold,best_accepted,best_coverage,best_invalid,best_risk,passes_independent_diagnostic
CCPs,hessian_blob_curve,assessable,237,30,0,1.0,0,0.0,0.4566275011141736,237,1.0,0,0.0,True
CCPs,hessian_tube_curve,assessable,237,30,0,1.0,0,0.0,0.4566275011141736,237,1.0,0,0.0,True
CCPs,spectral_anisotropy,assessable,237,30,0,1.0,0,0.0,0.4566275011141736,237,1.0,0,0.0,True
CCPs,spectral_entropy,assessable,237,30,0,1.0,0,0.0,0.4566275011141736,237,1.0,0,0.0,True
CCPs,tensor_coherence,assessable,1185,30,0,1.0,0,0.0,0.4566275011141736,1185,1.0,0,0.0,True
CCPs,tensor_orientation,not_assessable,0,0,0,,,,,,,,,False
CCPs,variogram_horizontal_curve,assessable,237,30,0,1.0,0,0.0,0.4566275011141736,237,1.0,0,0.0,True
CCPs,variogram_range_horizontal,assessable,237,30,0,1.0,0,0.0,0.9999999999999998,237,1.0,0,0.0,True
CCPs,variogram_range_vertical,assessable,237,30,0,1.0,7,0.029535864978902954,0.9999999999999998,237,1.0,7,0.029535864978902954,True
CCPs,variogram_vertical_curve,assessable,237,30,0,1.0,0,0.0,0.4566275011141736,237,1.0,0,0.0,True
ER,hessian_blob_curve,assessable,192,33,0,1.0,0,0.0,0.40347936181135097,192,1.0,0,0.0,True
ER,hessian_tube_curve,assessable,192,33,0,1.0,0,0.0,0.40347936181135097,192,1.0,0,0.0,True
ER,spectral_anisotropy,assessable,192,33,0,1.0,2,0.010416666666666666,0.34475644664801014,178,0.9270833333333334,0,0.0,True
ER,spectral_entropy,assessable,192,33,0,1.0,0,0.0,0.40347936181135097,192,1.0,0,0.0,True
ER,tensor_coherence,assessable,960,33,0,1.0,230,0.23958333333333334,0.2999141693723138,675,0.703125,56,0.08296296296296296,True
ER,tensor_orientation,assessable,158,6,35,0.7784810126582279,10,0.08130081300813008,0.9964578203269273,123,0.7784810126582279,10,0.08130081300813008,True
ER,variogram_horizontal_curve,assessable,192,33,0,1.0,0,0.0,0.40347936181135097,192,1.0,0,0.0,True
ER,variogram_range_horizontal,assessable,169,29,0,1.0,15,0.08875739644970414,0.40347936181135097,132,0.7810650887573964,6,0.045454545454545456,True
ER,variogram_range_vertical,assessable,158,27,0,1.0,17,0.10759493670886076,0.9999999999999998,158,1.0,17,0.10759493670886076,False
ER,variogram_vertical_curve,assessable,192,33,0,1.0,0,0.0,0.40347936181135097,192,1.0,0,0.0,True
