condition,policy_status,family,family_status,threshold,eligible,accepted,coverage,invalid,risk,cluster_bootstrap_risk_upper95
full_contract,pass,hessian_response_shape,threshold_selected,0.4566275011141736,1030,1030,1.0,0,0.0,0.0
full_contract,pass,spectral_order,threshold_selected,0.4566275011141736,1030,1030,1.0,2,0.001941747572815534,0.004690431519699813
full_contract,pass,tensor_coherence,threshold_selected,0.30956540595765564,2575,2228,0.8652427184466019,82,0.03680430879712747,0.04551266062729768
full_contract,pass,tensor_orientation,threshold_selected,0.9964578203269273,188,148,0.7872340425531915,10,0.06756756756756757,0.12987012987012986
always_emit,fail,hessian_response_shape,threshold_selected,0.0,1030,1030,1.0,0,0.0,0.0
always_emit,fail,spectral_order,threshold_selected,0.0,1030,1030,1.0,2,0.001941747572815534,0.004690431519699813
always_emit,fail,tensor_coherence,no_threshold,,2575,0,0.0,0,,
always_emit,fail,tensor_orientation,no_threshold,,188,0,0.0,0,,
conventional_acquisition_qc,pass,hessian_response_shape,threshold_selected,0.4566275011141736,1030,1030,1.0,0,0.0,0.0
conventional_acquisition_qc,pass,spectral_order,threshold_selected,0.4566275011141736,1030,1030,1.0,2,0.001941747572815534,0.004690431519699813
conventional_acquisition_qc,pass,tensor_coherence,threshold_selected,0.24693006305363735,2575,2325,0.9029126213592233,91,0.03913978494623656,0.0480350353479835
conventional_acquisition_qc,pass,tensor_orientation,threshold_selected,0.24858369520219217,188,155,0.824468085106383,13,0.08387096774193549,0.14482758620689656
physical_sampling_only,fail,hessian_response_shape,threshold_selected,0.0,1030,1030,1.0,0,0.0,0.0
physical_sampling_only,fail,spectral_order,threshold_selected,0.0,1030,1030,1.0,2,0.001941747572815534,0.004690431519699813
physical_sampling_only,fail,tensor_coherence,no_threshold,,2575,0,0.0,0,,
physical_sampling_only,fail,tensor_orientation,no_threshold,,188,0,0.0,0,,
perturbation_stability_only,fail,hessian_response_shape,threshold_selected,0.12199053705199464,1030,1030,1.0,0,0.0,0.0
perturbation_stability_only,fail,spectral_order,threshold_selected,0.2401612796804555,1030,1030,1.0,2,0.001941747572815534,0.004690431519699813
perturbation_stability_only,fail,tensor_coherence,no_threshold,,2575,0,0.0,0,,
perturbation_stability_only,fail,tensor_orientation,no_threshold,,188,0,0.0,0,,
full_contract_without_qc,fail,hessian_response_shape,threshold_selected,0.12199053705199464,1030,1030,1.0,0,0.0,0.0
full_contract_without_qc,fail,spectral_order,threshold_selected,0.2401612796804555,1030,1030,1.0,2,0.001941747572815534,0.004690431519699813
full_contract_without_qc,fail,tensor_coherence,no_threshold,,2575,0,0.0,0,,
full_contract_without_qc,fail,tensor_orientation,threshold_selected,0.9964578203269273,188,148,0.7872340425531915,10,0.06756756756756757,0.12987012987012986
full_contract_without_sampling,pass,hessian_response_shape,threshold_selected,0.4566275011141736,1030,1030,1.0,0,0.0,0.0
full_contract_without_sampling,pass,spectral_order,threshold_selected,0.4566275011141736,1030,1030,1.0,2,0.001941747572815534,0.004690431519699813
full_contract_without_sampling,pass,tensor_coherence,threshold_selected,0.30956540595765564,2575,2228,0.8652427184466019,82,0.03680430879712747,0.04551266062729768
full_contract_without_sampling,pass,tensor_orientation,threshold_selected,0.9964578203269273,188,148,0.7872340425531915,10,0.06756756756756757,0.12987012987012986
full_contract_without_perturbation,pass,hessian_response_shape,threshold_selected,0.4566275011141736,1030,1030,1.0,0,0.0,0.0
full_contract_without_perturbation,pass,spectral_order,threshold_selected,0.4566275011141736,1030,1030,1.0,2,0.001941747572815534,0.004690431519699813
full_contract_without_perturbation,pass,tensor_coherence,threshold_selected,0.24693006305363735,2575,2325,0.9029126213592233,91,0.03913978494623656,0.0480350353479835
full_contract_without_perturbation,pass,tensor_orientation,threshold_selected,0.9964578203269273,188,148,0.7872340425531915,10,0.06756756756756757,0.12987012987012986
full_contract_without_identifiability,pass,hessian_response_shape,threshold_selected,0.4566275011141736,1030,1030,1.0,0,0.0,0.0
full_contract_without_identifiability,pass,spectral_order,threshold_selected,0.4566275011141736,1030,1030,1.0,2,0.001941747572815534,0.004690431519699813
full_contract_without_identifiability,pass,tensor_coherence,threshold_selected,0.30956540595765564,2575,2228,0.8652427184466019,82,0.03680430879712747,0.04551266062729768
full_contract_without_identifiability,pass,tensor_orientation,threshold_selected,0.24858369520219217,188,150,0.7978723404255319,13,0.08666666666666667,0.14838709677419354
